Diseases_id,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Description_id,Precaution_id,Medication_id,Diet_id,Diseases_severity
1,Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,1,28,1,1,3.5
2,Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,1,28,1,1,3.25
3,Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,1,28,1,1,2.75
4,Fungal infection,itching,skin_rash,dischromic_patches,,1,28,1,1,2.5
5,Fungal infection,itching,skin_rash,nodal_skin_eruptions,,1,28,1,1,2
6,Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,1,28,1,1,3.25
7,Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,1,28,1,1,2.75
8,Fungal infection,itching,skin_rash,dischromic_patches,,1,28,1,1,2.5
9,Fungal infection,itching,skin_rash,nodal_skin_eruptions,,1,28,1,1,2
10,Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,1,28,1,1,3.5
11,Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,2,3,2,2,4
12,Allergy,shivering,chills,watering_from_eyes,,2,3,2,2,3
13,Allergy,continuous_sneezing,chills,watering_from_eyes,,2,3,2,2,2.75
14,Allergy,continuous_sneezing,shivering,watering_from_eyes,,2,3,2,2,3.25
15,Allergy,continuous_sneezing,shivering,chills,,2,3,2,2,3
16,Allergy,shivering,chills,watering_from_eyes,,2,3,2,2,3
17,Allergy,continuous_sneezing,chills,watering_from_eyes,,2,3,2,2,2.75
18,Allergy,continuous_sneezing,shivering,watering_from_eyes,,2,3,2,2,3.25
19,Allergy,continuous_sneezing,shivering,chills,,2,3,2,2,3
20,Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,2,3,2,2,4
21,GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,3,6,3,3,4.25
22,GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,3,6,3,3,4.5
23,GERD,stomach_pain,acidity,vomiting,cough,3,6,3,3,4.25
24,GERD,stomach_pain,acidity,ulcers_on_tongue,cough,3,6,3,3,4
25,GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,3,6,3,3,4.25
26,GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,3,6,3,3,4.25
27,GERD,acidity,ulcers_on_tongue,vomiting,cough,3,6,3,3,4
28,GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,3,6,3,3,4.5
29,GERD,stomach_pain,acidity,vomiting,cough,3,6,3,3,4.25
30,GERD,stomach_pain,acidity,ulcers_on_tongue,cough,3,6,3,3,4
31,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,4,7,4,4,3.5
32,Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,4,7,4,4,4.25
33,Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,4,7,4,4,3.25
34,Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,4,7,4,4,3.75
35,Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,4,7,4,4,3.25
36,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,4,7,4,4,3.5
37,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,4,7,4,4,3.5
38,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,4,7,4,4,3.5
39,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,4,7,4,4,3.5
40,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,4,7,4,4,3.5
41,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,5,1,5,5,3.75
42,Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,5,1,5,5,4.5
43,Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,5,1,5,5,4
44,Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,5,1,5,5,3.75
45,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,5,1,5,5,3.75
46,Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_urination,5,1,5,5,5
47,Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,5,1,5,5,4.5
48,Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,5,1,5,5,4
49,Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,5,1,5,5,3.75
50,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,5,1,5,5,3.75
51,Peptic ulcer disease,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,6,16,6,6,4.5
52,Peptic ulcer disease,vomiting,indigestion,abdominal_pain,passage_of_gases,6,16,6,6,4.75
53,Peptic ulcer disease,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,6,16,6,6,4.5
54,Peptic ulcer disease,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,6,16,6,6,4.5
55,Peptic ulcer disease,vomiting,indigestion,abdominal_pain,passage_of_gases,6,16,6,6,4.75
56,Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,passage_of_gases,6,16,6,6,4.75
57,Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,6,16,6,6,4.5
58,Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,6,16,6,6,4.5
59,Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,6,16,6,6,4.5
60,Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,6,16,6,6,4.5
61,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,7,24,7,7,5.25
62,AIDS,patches_in_throat,high_fever,extra_marital_contacts,,7,24,7,7,4.5
63,AIDS,muscle_wasting,high_fever,extra_marital_contacts,,7,24,7,7,3.75
64,AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,,7,24,7,7,3.5
65,AIDS,muscle_wasting,patches_in_throat,high_fever,,7,24,7,7,4
66,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,7,24,7,7,5.25
67,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,7,24,7,7,5.25
68,AIDS,patches_in_throat,high_fever,extra_marital_contacts,,7,24,7,7,4.5
69,AIDS,muscle_wasting,high_fever,extra_marital_contacts,,7,24,7,7,3.75
70,AIDS,muscle_wasting,patches_in_throat,high_fever,,7,24,7,7,4
